angry,dates,haha,like,love,messages,sad,wow,url
0,2017-10-06T06:00:00+0000,0,21,1,Endogamia de los neandertales puede que no fuera tan extendida http://bit.ly/2fPbTqJ,0,1,http://bit.ly/2fPbTqJ
0,2017-10-06T05:00:00+0000,0,12,0,Financial Times: Caixabank abandonaría Cataluña si hay declaratoria de independencia http://bit.ly/2xlAx96,0,0,http://bit.ly/2xlAx96
0,2017-10-06T04:00:00+0000,0,16,0,Realizan taller sobre manejo de desechos eléctricos y electrónicos http://bit.ly/2xlaOCg,0,0,http://bit.ly/2xlaOCg
1,2017-10-06T03:40:00+0000,1,7,0,"Minería responsable asegura financiamiento, cumplimiento normas ambientales e inversiones por US$6,200 millones http://bit.ly/2xl1v0m",0,0,http://bit.ly/2xl1v0m
0,2017-10-06T03:20:00+0000,1,84,0,PAWA Dominicana reanuda vuelos regulares hacia San Martín http://bit.ly/2yLRdY6,0,0,http://bit.ly/2yLRdY6
2,2017-10-06T03:00:00+0000,22,151,5,EE.UU. quiere enviar astronautas a la Luna y sentar bases para explorar Marte http://bit.ly/2yLN5HB,1,11,http://bit.ly/2yLN5HB
0,2017-10-06T02:50:00+0000,7,34,1,Estados Unidos amonesta a tienda por poner el amor como ingrediente http://bit.ly/2yuez8A,1,3,http://bit.ly/2yuez8A
0,2017-10-06T02:40:00+0000,0,13,0,El campeón Alemania e Inglaterra se instalan en Rusia 2018 http://bit.ly/2fXnnMF,0,0,http://bit.ly/2fXnnMF
1,2017-10-06T02:20:00+0000,6,28,0,Legislador “pro-vida” de EE.UU. renuncia tras escándalo por aborto http://bit.ly/2ysVns6,0,1,http://bit.ly/2ysVns6
0,2017-10-06T02:00:00+0000,0,26,3,Guillermo Del Toro: “Me interesa más la poesía que la mecánica del terror” http://bit.ly/2y34iPA,0,0,http://bit.ly/2y34iPA
1,2017-10-06T01:50:58+0000,13,76,0,Procuraduría General de RD interroga al oncólogo que diagnosticó enfermedad a Quirinito http://bit.ly/2xXqkS3,0,6,http://bit.ly/2xXqkS3
4,2017-10-06T01:50:00+0000,341,1408,13,LeBron James debe tomar una decisión: ¿Yanquis o Indios? http://bit.ly/2xlocRW,2,24,http://bit.ly/2xlocRW
1,2017-10-06T01:40:00+0000,1,39,0,Esfuerzo por contener migraciones aumenta violencia en Libia http://bit.ly/2xknppm,10,11,http://bit.ly/2xknppm
0,2017-10-06T01:20:00+0000,0,20,1,El documental sobre Steven Spielberg se estrena este sábado en HBO http://bit.ly/2xlrJzP,0,0,http://bit.ly/2xlrJzP
